W&B run: https://wandb.ai/vuongcris4-hcmute/thietkedenoiser/runs/vrylq49n
OpenEarthMap train: 2303 samples
OpenEarthMap val: 384 samples
Model params: 24.5M total, 24.5M trainable
/home/ubuntu/thietkedenoiser/src/train_dae.py:274: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ubuntu/thietkedenoiser/src/train_dae.py:76: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Batch 380/575 | Loss: 0.8799 | Acc: 0.9555
  Batch 400/575 | Loss: 0.7245 | Acc: 0.9554
  Batch 420/575 | Loss: 0.9519 | Acc: 0.9555
  Batch 440/575 | Loss: 0.6097 | Acc: 0.9556
  Batch 460/575 | Loss: 0.7221 | Acc: 0.9556
  Batch 480/575 | Loss: 0.9290 | Acc: 0.9555
  Batch 500/575 | Loss: 0.6928 | Acc: 0.9553
  Batch 520/575 | Loss: 0.7139 | Acc: 0.9552
  Batch 540/575 | Loss: 0.6572 | Acc: 0.9553
  Batch 560/575 | Loss: 0.7306 | Acc: 0.9554
Epoch  11/100 | Train Loss: 0.7480 Acc: 0.9554 | Val Loss: 0.7369 mIoU: 0.9225 | LR: 0.000097 | 75.3s
  IoU: Bare:0.964 Rang:0.929 Deve:0.918 Road:0.873 Tree:0.881 Wate:0.929 Agri:0.942 Buil:0.944
  >>> New best mIoU: 0.9225, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 0.6167 | Acc: 0.9589
  Batch 40/575 | Loss: 0.8455 | Acc: 0.9572
  Batch 60/575 | Loss: 0.7704 | Acc: 0.9576
  Batch 80/575 | Loss: 0.8126 | Acc: 0.9574
  Batch 100/575 | Loss: 0.7053 | Acc: 0.9576
  Batch 120/575 | Loss: 0.7656 | Acc: 0.9570
  Batch 140/575 | Loss: 0.6786 | Acc: 0.9571
  Batch 160/575 | Loss: 0.7893 | Acc: 0.9565
  Batch 180/575 | Loss: 0.6592 | Acc: 0.9567
  Batch 200/575 | Loss: 0.8386 | Acc: 0.9565
  Batch 220/575 | Loss: 0.8839 | Acc: 0.9562
  Batch 240/575 | Loss: 0.6010 | Acc: 0.9563
  Batch 260/575 | Loss: 1.0277 | Acc: 0.9566
  Batch 280/575 | Loss: 0.7024 | Acc: 0.9567
  Batch 300/575 | Loss: 0.8546 | Acc: 0.9568
  Batch 320/575 | Loss: 0.6907 | Acc: 0.9567
  Batch 340/575 | Loss: 0.7112 | Acc: 0.9567
  Batch 360/575 | Loss: 0.6857 | Acc: 0.9567
  Batch 380/575 | Loss: 0.8166 | Acc: 0.9566
  Batch 400/575 | Loss: 0.7489 | Acc: 0.9564
